Country;ISO3 Code;Date;Price (EUR/MWhe)
Austria;AUT;17/6/2015;31,52
Austria;AUT;18/6/2015;32,56
Austria;AUT;19/6/2015;32,63
Austria;AUT;20/6/2015;27,59
Austria;AUT;21/6/2015;23,49
Austria;AUT;22/6/2015;33,45
Austria;AUT;23/6/2015;31,61
Austria;AUT;24/6/2015;31,12
Austria;AUT;25/6/2015;36,55
Austria;AUT;26/6/2015;36,04
Austria;AUT;27/6/2015;28,64
Austria;AUT;28/6/2015;21,94
Austria;AUT;29/6/2015;35,96
Austria;AUT;30/6/2015;35,63
Austria;AUT;1/7/2015;33,42
Austria;AUT;2/7/2015;34,02
Austria;AUT;3/7/2015;45,13
Austria;AUT;4/7/2015;33,25
Austria;AUT;5/7/2015;28
Austria;AUT;6/7/2015;38,69
Austria;AUT;7/7/2015;47,51
Austria;AUT;8/7/2015;29,37
Austria;AUT;9/7/2015;28,8
Austria;AUT;10/7/2015;33,18
Austria;AUT;11/7/2015;32,64
Austria;AUT;12/7/2015;27,74
Austria;AUT;13/7/2015;40,97
Austria;AUT;14/7/2015;42,38
Austria;AUT;15/7/2015;47,61
Austria;AUT;16/7/2015;45,38
Austria;AUT;17/7/2015;38,4
Austria;AUT;18/7/2015;37,48
Austria;AUT;19/7/2015;28,68
Austria;AUT;20/7/2015;42,88
Austria;AUT;21/7/2015;45,61
Austria;AUT;22/7/2015;46,54
Austria;AUT;23/7/2015;47,47
Austria;AUT;24/7/2015;43,98
Austria;AUT;25/7/2015;13,85
Austria;AUT;26/7/2015;13,17
Austria;AUT;27/7/2015;30,68
Austria;AUT;28/7/2015;24,75
Austria;AUT;29/7/2015;27,04
Austria;AUT;30/7/2015;25,15
Austria;AUT;31/7/2015;30,58
Austria;AUT;1/8/2015;21,75
Austria;AUT;2/8/2015;17,58
Austria;AUT;3/8/2015;29,46
Austria;AUT;4/8/2015;33,47
Austria;AUT;5/8/2015;34,76
Austria;AUT;6/8/2015;34,48
Austria;AUT;7/8/2015;34,2
Austria;AUT;8/8/2015;28,02
Austria;AUT;9/8/2015;27,21
Austria;AUT;10/8/2015;34,36
Austria;AUT;11/8/2015;38,78
Austria;AUT;12/8/2015;37,53
Austria;AUT;13/8/2015;33,8
Austria;AUT;14/8/2015;30,97
Austria;AUT;15/8/2015;32,42
Austria;AUT;16/8/2015;29,92
Austria;AUT;17/8/2015;40,41
Austria;AUT;18/8/2015;37,84
Austria;AUT;19/8/2015;39,39
Austria;AUT;20/8/2015;36,9
Austria;AUT;21/8/2015;32,56
Austria;AUT;22/8/2015;26,38
Austria;AUT;23/8/2015;16,64
Austria;AUT;24/8/2015;30,83
Austria;AUT;25/8/2015;26,75
Austria;AUT;26/8/2015;28,64
Austria;AUT;27/8/2015;31,88
Austria;AUT;28/8/2015;41,32
Austria;AUT;29/8/2015;29,7
Austria;AUT;30/8/2015;26,6
Austria;AUT;31/8/2015;35,45
Austria;AUT;1/9/2015;39,11
Austria;AUT;2/9/2015;37,84
Austria;AUT;3/9/2015;40,62
Austria;AUT;4/9/2015;32,67
Austria;AUT;5/9/2015;17,75
Austria;AUT;6/9/2015;2,87
Austria;AUT;7/9/2015;33,54
Austria;AUT;8/9/2015;35,48
Austria;AUT;9/9/2015;34,37
